                   year,File name,Style,Material,Brand
1970,70s funky.jpg,rectangle,Plastic,house
1970,1970 oversize.jpg,oversize,Plastic,house     
2003,armani 2003 6g.jpg,aviator,Metal,armani
2002,armani titanium 2002.jpg,rectangle,Metal,house
2003,balmain 2003.jpg,oversize,Plastic,balmain
2006,carrera 2006 TS.jpg,cat eye,Metal,carrera
2006,cele star3 2006.jpg,round,metal,celebrity
2006,celebrity star3 2006.jpg,round,Plastic,celebrity
2006,cubanos 2006.jpg,round,Plastic,cubanos
2006,cucci_1.jpg,round,metal,gucci
2006,enrico archives 2006.jpg,rectangle,Plastic,enrico
2003,flint reflect 2003.png,round,metal,flint
2003,foster grant 2003 black.jpg,rectangle,Plastic,foster
2004,foster grant 2004 (1).jpg,rectangle,Plastic,foster
2004,gant gs 2004 (1).jpg,rectangle,Plastic,gant
2007,garrett 2007 kinney.jpg,round,Plastic,garrett
2002,garrett leight 2002 matte black.jpg,rectangle,Plastic,garrett
2004,gucci acetate 2004 (1).jpg,round,Plastic,gucci
2004,harley davidson 2004.jpg,round,complex,harley
2004,MK women's panama 2004 (1).jpg,oversize,Plastic,MK
2000,oakley.jpg,rectangle,Plastic,oakley
2006,ray.jpg,rectangle,Plastic,rayban
2004,tom ford 2004 (1).jpg,round,Plastic,tomford
2007,vogue 2007 vj.jpg,round,Plastic,vogue
1950,1950_1.jpg,cat eye,Plastic,house
2006,aspect by mister spex 2006.jpg,rectangle,metal,house
2002,baby 2002.jpg,rectangle,Plastic,house
2006,beyonce knowles 2006.jpg,oversize,Plastic,house
2007,ahlem 2007.jpg,aviator,metal,ahlem
2001,bally 2001 square.jpg,rectangle,Plastic,bally
2004,carrera 2004T.jpg,round,metal,carrera
2002,arnabu EA 2002 Man.png,rectangle,metal,arnabu
2006,aviator women 2006 le specs.jpg,aviator,metal,house
1970,70 italia square.jpg,oversize,plastic,house
2006,bonhams 2006.jpg,round,plastic,bonhams
1970,70 sunglasses.jpg,oversize,plastic,house
2004,vogue kids 2004.jpg,rectangle,plastic,vogue
2002,garrett 2002 matte espresso.jpg,round,plastic,garrett
2002,vuranet 2002 district.jpg,rectangle,plastic,vuranet
all,squared cats eye.jpg,rectangle,plastic,house
2006,john jacobs 2006.jpg,round,plastic,john jacobs
2003,vuarnet 2003 cateye black.jpg,cat eye,plastic,vuranet
2002,vuranet district 2002.jpg,rectangle,plastic,vuranet
all,pendi squared.jpg,rectangle,plastic,pendi
2004,jw 2004.jpg,round,complex,jw
2006,garrett sunshine 2006.jpg,round,plastic,garrett
2001,vogue junior vj 2001.jpg,rectangle,plastic,vogue
2002,vuranet 2002 frame sunglasses(blue polar and brown).jpg,rectangle,plastic,vuranet
all,retro rayban.jpg,round,complex,rayban
2006,vintage open source 2006.jpeg,oversize,plastic,house
2003,vuarnet 2003 optique.jpg,round,plastic,vuranet
2005,pilot ments black 2005.jpg,aviator,complex,house
all,woman squared harris.jpg,rectangle,complex,harris
2003,michael kors women 2003.jpg,round,plastic,mk
all,woman squared oakley carbon.jpg,oversize,plastic,oakley
2001,dolce 2001 black.jpg,round,plastic,dolce
2002,armani exchange 2002.jpg,aviator,complex,armani
all,retro yacob-gray.jpg,rectangle,plastic,yacob
all,very square.jpg,rectangle,plastic,house
2005,gant gws 2005.jpg,round,plastic,house
2006,harley davidson 2006 optics.jpg,rectangle,plastic,harley
2004,carrera 2004 T-S.jpg,aviator,metal,carrera
all,cats eye.jpg,cat eye,metal,house
2006,leight 2006 black.png,rectangle,plastic,garett
2001,garett leight 2001 hampton.jpg,round,plastic,garett
2003,polaroid 2003 clip.jpg,aviator,metal,house
2001,hu 2001.jpg,round,plastic,hu
2001,garrett leight 2001.jpg,round,plastic,garrett
all,oakley cats eye.jpg,cat eye,complex,oakley
2005,carrera Eyewear sunglasses 2005.jpg,aviator,complex,carrera
2003,versace 2003.jpg,rectangle,metal,versace
2006,garrett leight brandy 2006.jpg,round,plastic,garrett
2001,TekSpex2001-blacktortpolar.jpg,round,plastic,tekspex
2005,walker balck sunglasses 2005.jpg,rectangle,plastic,walker balck
2006,HD motor 2006.jpg,rectangle,plastic,hd motor
2001,gil visconti 2001.jpg,oversize,plastic,gil
2006,celebrity 2006 stars.jpg,round,metal,celebrity
2005,sunski 2005.jpg,rectangle,plastic,sunski
2004,carrera 2004.jpg,aviator,metal,carrera
2005,tecmac 2005.jpg,rectangle,plastic,tecmac
2002,tipi diversi 2002.jpg,rectangle,plastic,tipi
2004,hanover 2004 brown.jpg,aviator,complex,house
2002,vogue junior brown 2002.jpg,cat eye,plastic,vogue
2003,scoutwire en 2003.jpg,aviator,plastic,scout
2004,maui jim cliff house 2004.jpg,aviator,metal,maui
2004,others circle 2004.jpg,rectangle,plastic,house
2003,cleo 2003.jpg,round,plastic,cleo
2004,mister spex collection 2004.jpg,aviator,metal,mister
2002,ravine 2002.jpg,rectangle,plastic,ravine
2004,marwitz 2004 classic.jpg,rectangle,plastic,marwitz
2003,polaroid 2003.jpg,rectangle,plastic,house
2004,miyake jap 2004.jpg,round,metal,miyake
2004,hanover 2004.jpg,aviator,complex,house
2002,armani metal aviator 2002.jpg,aviator,complex,armani
2004,fossil women 2004.jpg,aviator,metal,fossil
2003,vuranet 2003 tinted.jpg,cat eye,plastic,vuranet
2005,turkish souq 2005.jpg,round,metal,turkish
2005,estivo 2005 dk gunm.jpg,aviator,metal,dk
2019,J1001.jpg,rectangle,plastic,jaglion
2005,carrera aviatnavi 2005.jpg,aviator,plastic,carrera
2014,rayban Mens BlackORB4146 2014.jpg,rectangle,plastic,rayban
2014,mytheresa 2014.jpg,round,complex,house
2014,jjh 2014.jpg,rectangle,plastic,jjh
2014,supreme-wellington 2014.jpg,round,plastic,house
2014,Stelvio_Grn 2014.jpg,aviator,plastic,stelvio
2014,berlin rectangle prescription 2014.jpg,rectangle,plastic,house
2014,julbo beach j477 2014.jpg,rectangle,plastic,julbo
2014,WARBY PARKER BARKLEY  ANTIQUE SHALE FAD 2014.jpg,rectangle,plastic,warby parker
2014,supreme-summer 2014.jpg,round,plastic,house
2014,rayban RB4147 2014.jpg,aviator,plastic,rayban
2014,prada 52mm burtterfly 2014.jpg,rectangle,plastic,prada
2014,rayban justin rubber black 2014.jpg,rectangle,plastic,rayban
2014,Gazal Eyewear 2014.jpg,rectangle,plastic,gazal
2014,oliver-goldsmith-the-1980s-matte 2014.jpg,rectangle,plastic,oliver
2014,Super-Impero-2 2014.jpg,aviator,complex,house
2014,bottega-veneta-bv0169n 2014.jpg,round,complex,bottega
2014,bottega-veneta-bv0159 2014.jpg,rectangle,complex,bottega
2014,oliver-goldsmith-gopas-wintersun-shadow 2014.jpg,aviator,plastic,oliver
2015,balenciaga square 2015.jpg,rectangle,plastic,balenciaga
2015,celine cl40030f 2015.jpg,oversize,plastic,celine
2015,celine square s130 2015.jpg,rectangle,plastic,celine
2015,gucci-occhiale 2015.jpg,oversize,plastic,gucci
2015,gucci square acetate 2015.jpg,rectangle,plastic,gucci
2015,Kate Spade ks danalyn 807 Women 2015.jpg,rectangle,plastic,kate
2015,balenciaga hybrid rectangle 2015.jpg,rectangle,plastic,balenciaga
2015,celine maillon kd125 2015.jpg,round,plastic,celine
2015,balenciaga dframe 2015.jpg,rectangle,plastic,balenciaga
2015,balenciaga aluminum 2015.jpg,cat eye,plastic,balenciaga
2015,bottega veneta shield acetate 2015.jpg,rectangle,plastic,bottega
2015,lunettes 2015.jpg,round,plastic,house
2015,balenciaga round 2015.jpg,round,plastic,balenciaga
2015,jacques marie mage 2015.jpg,rectangle,plastic,jacques
2015,balenciaga shield rectangle 2015.jpg,rectangle,plastic,balenciaga
2015,Pawaka-Sepuluh 2015.jpg,rectangle,plastic,pawaka
2015,celine round s163 kd115 2015.jpg,round,plastic,celine
2015,celine side studs 2015.jpg,rectangle,plastic,celine
2015,jacques marie astaire square acetate 2015.jpg,rectangle,plastic,jacques
2015,ethical coffeemade 2015.jpeg,round,plastic,house
2015,prada foiled-logo acetate 2015.jpg,rectangle,plastic,prada
2017,Versace Ve 4297 2017.png,round,plastic,versace
2016,french connection 2016.jpg,oversize,plastic,french
2017,Versace Ve 4251 2017.png,round,plastic,versace
2016,NYC-Error 2016.jpg,rectangle,plastic,house
2017,polaroid pld4066 2017.jpg,rectangle,plastic,house
2017,gucci-goggles 2017.png,rectangle,plastic,gucci
2016,Moschino Lunettes M3581-V 2016.png,round,plastic,moschino
2017,Versace 4306q 2017.png,round,plastic,versace
2016,Metz ferruci Mod 1519 2016.jpg,round,plastic,mets
2017,iyu-aylan 2017.jpg,round,plastic,house
2016,More 54359 2016.jpg,round,plastic,house
2016,raen-squire 2016.png,rectangle,plastic,raen
2016,Bvlgari 8178 2016.jpg,cat eye,plastic,bvlgari
2017,smith barra 2017.png,rectangle,plastic,smith
2017,Versace Ve 4305q 2017.png,cat eye,plastic,versace
2016,RAY BAN rose 2016.jpg,rectangle,plastic,rayban
2017,armani-ax-exchange 2018 2017.jpeg,rectangle,plastic,armani
2017,bvlgari serpenti 2017.png,oversize,plastic,bvlgari
2016,occhiali 2016.jpg,round,plastic,occhiali
2016,occhiali modello V555 2016.jpg,cat eye,plastic,occhiali
2017,Versace Ve 4328 2017.png,cat eye,plastic,versace
2017,sergi 2017.jpg,rectangle,plastic,sergi
2016,RAY BAN marron 2016.png,rectangle,plastic,rayban
2016,RAY BAN noir 2016.jpg,rectangle,plastic,rayban
2017,Versace Ve 4298 2017.png,oversize,plastic,versace
2017,smith lowdown 2017.png,rectangle,plastic,smith
2016,Adidas Originals ITALIA INDEPENDENT 2016.jpg,round,plastic,adidas
2016,Rond Smokey Gris Lentille 2016.png,round,plastic,rond
2016,Fossil lunettes noir 2016.png,rectangle,plastic,fossil
2017,RayBan-7505 2017.jpg,round,plastic,rayban
2017,police pl357 2017.jpg,rectangle,plastic,house
2016,Polo Ralph Lauren Noir 2016.jpg,rectangle,plastic,polo
2016,Fossil rouge 2016.jpg,rectangle,plastic,fossil
2017,seen em06 2017.jpg,rectangle,plastic,house
2017,polaroid pld1015 2017.jpg,rectangle,plastic,house
2016,Ralph Lauren RL8160 2016.jpg,cat eye,plastic,ralph
2016,Metz FERUCCI petite Mod 1512 2016.jpg,rectangle,plastic,metz
2016,En Gros Soleil Chat Eye 2016.jpg,cat eye,plastic,house
